Block Offset,Method
0x0000,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0100,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0200,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0300,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0400,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0500,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0600,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0700,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0800,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0900,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0A00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0B00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0C00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0D00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0E00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x0F00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1000,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1100,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1200,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1300,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1400,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1500,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1600,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1700,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1800,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1900,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1A00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1B00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1C00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1D00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1E00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x1F00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2000,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2100,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2200,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2300,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2400,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2500,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2600,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2700,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2800,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2900,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2A00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2B00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2C00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2D00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2E00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x2F00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3000,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3100,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3200,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3300,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3400,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3500,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3600,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3700,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3800,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3900,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3A00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3B00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3C00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3D00,"Segment permutation [0,2,3,4,5,1,6,7]"
0x3E00,"Segment permutation [0,2,3,4,5,1,6,7]"
