Segment Address,Permutation
0x4000,01234
0x4020,01234
0x4040,01234
0x4060,01234
0x4080,01234
0x40A0,01234
0x40C0,01234
0x40E0,01234
0x4100,01234
0x4120,01234
0x4140,01234
0x4160,01234
0x4180,01234
0x41A0,01234
0x41C0,01234
0x41E0,01234
0x4200,01234
0x4220,01234
0x4240,01234
0x4260,01234
0x4280,01234
0x42A0,01234
0x42C0,01234
0x42E0,01234
0x4300,01234
0x4320,01234
0x4340,01234
0x4360,01234
0x4380,01234
0x43A0,01234
0x43C0,01234
0x43E0,01234
0x4400,01234
0x4420,01234
0x4440,01234
0x4460,01234
0x4480,01234
0x44A0,01234
0x44C0,01234
0x44E0,01234
0x4500,01234
0x4520,01234
0x4540,01234
0x4560,01234
0x4580,01234
0x45A0,01234
0x45C0,01234
0x45E0,01234
0x4600,01234
0x4620,01234
0x4640,01234
0x4660,01234
0x4680,01234
0x46A0,01234
0x46C0,01234
0x46E0,01234
0x4700,01234
0x4720,01234
0x4740,01234
0x4760,01234
0x4780,01234
0x47A0,01234
0x47C0,01234
0x47E0,01234
0x4800,01234
0x4820,01234
0x4840,01234
0x4860,01234
0x4880,01234
0x48A0,01234
0x48C0,01234
0x48E0,01234
0x4900,01234
0x4920,01234
0x4940,01234
0x4960,01234
0x4980,01234
0x49A0,01234
0x49C0,01234
0x49E0,01234
0x4A00,01234
0x4A20,01234
0x4A40,01234
0x4A60,01234
0x4A80,01234
0x4AA0,01234
0x4AC0,01234
0x4AE0,01234
0x4B00,01234
0x4B20,01234
0x4B40,01234
0x4B60,01234
0x4B80,01234
0x4BA0,01234
0x4BC0,01234
0x4BE0,01234
0x4C00,01234
0x4C20,01234
0x4C40,01234
0x4C60,01234
0x4C80,01234
0x4CA0,01234
0x4CC0,01234
0x4CE0,01234
0x4D00,01234
0x4D20,01234
0x4D40,01234
0x4D60,01234
0x4D80,01234
0x4DA0,01234
0x4DC0,01234
0x4DE0,01234
0x4E00,01234
0x4E20,01234
0x4E40,01234
0x4E60,01234
0x4E80,01234
0x4EA0,01234
0x4EC0,01234
0x4EE0,01234
0x4F00,01234
0x4F20,01234
0x4F40,01234
0x4F60,01234
0x4F80,01234
0x4FA0,01234
0x4FC0,01234
0x4FE0,01234
0x5000,01234
0x5020,01234
0x5040,01234
0x5060,01234
0x5080,01234
0x50A0,01234
0x50C0,01234
0x50E0,01234
0x5100,01234
0x5120,01234
0x5140,01234
0x5160,01234
0x5180,01234
0x51A0,01234
0x51C0,01234
0x51E0,01234
0x5200,01234
0x5220,01234
0x5240,01234
0x5260,01234
0x5280,01234
0x52A0,01234
0x52C0,01234
0x52E0,01234
0x5300,01234
0x5320,01234
0x5340,01234
0x5360,01234
0x5380,01234
0x53A0,01234
0x53C0,01234
0x53E0,01234
0x5400,01234
0x5420,01234
0x5440,01234
0x5460,01234
0x5480,01234
0x54A0,01234
0x54C0,01234
0x54E0,01234
0x5500,01234
0x5520,01234
0x5540,01234
0x5560,01234
0x5580,01234
0x55A0,01234
0x55C0,01234
0x55E0,01234
0x5600,01234
0x5620,01234
0x5640,01234
0x5660,01234
0x5680,01234
0x56A0,01234
0x56C0,01234
0x56E0,01234
0x5700,01234
0x5720,01234
0x5740,01234
0x5760,01234
0x5780,01234
0x57A0,01234
0x57C0,01234
0x57E0,01234
0x5800,01234
0x5820,01234
0x5840,01234
0x5860,01234
0x5880,01234
0x58A0,01234
0x58C0,01234
0x58E0,01234
0x5900,01234
0x5920,01234
0x5940,01234
0x5960,01234
0x5980,01234
